company,H1,H2,H3,H4,H5,2023,2022,2021,2020,2019
Berlinovo Immobilien Gesellschaft mbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,3682.41,3634.84,2981.14,2953.59,97.94
Berlinovo Immobilien Gesellschaft mbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,15.96,12.4,5.82,0.99,44.09
Berlinovo Immobilien Gesellschaft mbH,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,894.26,550.43,1287.82,838.55,599.81
Berlinovo Immobilien Gesellschaft mbH,Bilanzdaten,Bilanzsumme,Eigenkapital,,,2164.07,2169.07,2029.31,1965.65,521.39
Berlinovo Immobilien Gesellschaft mbH,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,1500.75,1500.9,1501.13,1487.01,110.38
Berlinovo Immobilien Gesellschaft mbH,Bilanzdaten,Bilanzsumme,Fremdkapital,,,2054.08,1628.71,1869.78,1439.62,394.6
Berlinovo Immobilien Gesellschaft mbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,74.3,80.45,89.04,76.48,315.13
Berlinovo Immobilien Gesellschaft mbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,1979.78,1548.26,1780.74,1363.14,79.47
Berlinovo Immobilien Gesellschaft mbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,1860.72,1405.12,1667.85,1258.87,6.23
Berlinovo Immobilien Gesellschaft mbH,GuV-Daten,Gesamterträge,,,,423.61,593.16,360.34,337.0,337.42
Berlinovo Immobilien Gesellschaft mbH,GuV-Daten,Gesamterträge,Umsatzerlöse,,,313.66,290.14,270.28,270.63,155.33
Berlinovo Immobilien Gesellschaft mbH,GuV-Daten,Gesamterträge,Übrige Erträge,,,109.94,303.02,90.06,66.37,182.09
Berlinovo Immobilien Gesellschaft mbH,GuV-Daten,Gesamtaufwendungen,,,,427.81,451.79,308.71,277.19,323.06
Berlinovo Immobilien Gesellschaft mbH,GuV-Daten,Gesamtaufwendungen,Personalaufwand,,,34.16,32.46,26.33,25.45,26.56
Berlinovo Immobilien Gesellschaft mbH,GuV-Daten,Gesamtaufwendungen,Abschreibungen,,,132.6,175.79,87.81,83.3,9.27
Berlinovo Immobilien Gesellschaft mbH,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,32.16,9.82,3.57,7.96,1.09
Berlinovo Immobilien Gesellschaft mbH,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,228.89,233.73,191.0,160.49,286.14
Berlinovo Immobilien Gesellschaft mbH,GuV-Daten,EBITDA,,,,140.76,351.24,151.62,151.55,23.12
Berlinovo Immobilien Gesellschaft mbH,GuV-Daten,EBT,,,,-10.59,166.72,60.29,60.37,14.88
Berlinovo Immobilien Gesellschaft mbH,GuV-Daten,Jahresergebnis,,,,-4.2,141.37,51.63,59.81,14.36
Berlinovo Immobilien Gesellschaft mbH,GuV-Daten,Gewinnabführung,,,,,,,,
Berlinovo Immobilien Gesellschaft mbH,Beschäftigte,Beschäftigte,,,,417.0,400.0,345.0,340.0,323.0
Berlinovo Immobilien Gesellschaft mbH,Beschäftigte,Beschäftigte,davon Auszubildende,,,10.0,10.0,11.0,10.0,8.0
Berlinovo Immobilien Gesellschaft mbH,Allgemeine Daten,Zuführungen,,,,,,,,
Berlinovo Immobilien Gesellschaft mbH,Allgemeine Daten,Zuführungen,Zuführungen Land Berlin,,,,,,,
Berlinovo Immobilien Gesellschaft mbH,Allgemeine Daten,Investitionen,,,,198.7,841.69,127.4,38.0,20.3
Berlinovo Immobilien Gesellschaft mbH,Allgemeine Daten,Investitionsquote (%),,,,5.4,23.2,4.3,1.3,20.7
Berlinovo Immobilien Gesellschaft mbH,Allgemeine Daten,Umsatz pro Vollzeitkraft (T €),,,,752.18,725.35,783.41,795.97,480.91
Berlinovo Immobilien Gesellschaft mbH,Allgemeine Daten,Eigenkapitalquote (%),,,,47.0,51.6,47.4,51.7,55.3
Berlinovo Immobilien Gesellschaft mbH,Allgemeine Daten,Eigenkapitalrentabilität (%),,,,-0.5,7.7,3.0,3.1,2.9
Berlinovo Immobilien Gesellschaft mbH,Allgemeine Daten,Umsatzrentabilität (%),,,,-3.4,57.5,22.3,22.3,9.6
Berlinovo Immobilien Gesellschaft mbH,Allgemeine Daten,Zinslastquote (%),,,,10.3,3.4,1.3,2.9,0.7
Berlinovo Immobilien Gesellschaft mbH,Allgemeine Daten,Personalkostenquote (%),,,,10.9,11.2,9.7,9.4,17.1
Berlinovo Immobilien Gesellschaft mbH,Spezifische Daten,Altgeschäft Immobilienfonds (Anz.),,,,16.0,16.0,18.0,20.0,22.0
Berlinovo Immobilien Gesellschaft mbH,Spezifische Daten,Beteiligungskapital (Mio. €),,,,2338.0,2338.0,2361.0,2513.0,2586.0
Berlinovo Immobilien Gesellschaft mbH,Spezifische Daten,Mieteinheiten (Anz.),,,,31276.0,29808.0,24476.0,24687.0,24005.0
Berlinovo Immobilien Gesellschaft mbH,Spezifische Daten,Mieteinheiten (Anz.),davon Bestand (Anz.),,,27911.0,27245.0,23141.0,23220.0,23430.0
Berlinovo Immobilien Gesellschaft mbH,Spezifische Daten,Mieteinheiten (Anz.),davon Neugeschäft (Anz.),,,3365.0,2563.0,1335.0,1467.0,575.0
Berlinovo Immobilien Gesellschaft mbH,Spezifische Daten,Mietfläche (Tsd. m2),,,,2420.0,2418.0,2168.0,2238.0,2432.0
Berlinovo Immobilien Gesellschaft mbH,Spezifische Daten,Mietfläche (Tsd. m2),davon Bestand (Tsd. m2),,,2332.0,2336.0,2126.0,2195.0,2400.0
Berlinovo Immobilien Gesellschaft mbH,Spezifische Daten,Mietfläche (Tsd. m2),davon Neugeschäft (Tsd. m2),,,88.0,82.0,42.0,43.0,32.0
Berlinovo Immobilien Gesellschaft mbH,Spezifische Daten,Sollmiete (Mio. €),,,,262.57,253.15,228.12,237.9,247.32
Berlinovo Immobilien Gesellschaft mbH,Spezifische Daten,Sollmiete (Mio. €),davon Bestand (Mio. €),,,242.08,238.86,220.58,232.82,243.12
Berlinovo Immobilien Gesellschaft mbH,Spezifische Daten,Sollmiete (Mio. €),davon Neugeschäft (Mio. €),,,20.48,14.3,7.54,5.07,4.21
Berlinwasser Holding GmbH,Bilanzdaten,Bilanzsumme,,,,166.79,162.29,161.17,161.66,163.51
Berlinwasser Holding GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,,,6.13,6.15,6.18,6.2,6.23
Berlinwasser Holding GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,,,,,
Berlinwasser Holding GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,6.13,6.15,6.18,6.2,6.23
Berlinwasser Holding GmbH,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,156.83,153.38,153.2,154.38,156.04
Berlinwasser Holding GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,,,162.64,156.48,155.28,153.01,153.17
Berlinwasser Holding GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,123.27,123.27,123.27,123.27,123.27
Berlinwasser Holding GmbH,Bilanzdaten,Bilanzsumme,Sonderposten für Zuschüsse,,,,,,,
Berlinwasser Holding GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,,,4.08,5.73,5.8,8.54,10.22
Berlinwasser Holding GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,4.01,5.72,5.76,8.4,9.98
Berlinwasser Holding GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,0.07,0.01,0.04,0.14,0.24
Berlinwasser Holding GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,,,,,
Berlinwasser Holding GmbH,GuV-Daten,Gesamterträge,,,,7.23,2.11,5.29,1.13,23.06
Berlinwasser Holding GmbH,GuV-Daten,Gesamterträge,Umsatzerlöse,,,0.07,0.07,0.07,0.07,0.05
Berlinwasser Holding GmbH,GuV-Daten,Gesamterträge,Übrige Erträge,,,7.16,2.04,5.22,1.06,23.02
Berlinwasser Holding GmbH,GuV-Daten,Gesamtaufwendungen,,,,1.07,0.9,3.02,1.29,1.28
Berlinwasser Holding GmbH,GuV-Daten,Gesamtaufwendungen,Personalaufwand,,,0.26,,,,
Berlinwasser Holding GmbH,GuV-Daten,Gesamtaufwendungen,Abschreibungen,,,,,,,
Berlinwasser Holding GmbH,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,0.1,0.42,0.99,0.65,0.86
Berlinwasser Holding GmbH,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,0.71,0.48,2.03,0.64,0.42
Berlinwasser Holding GmbH,GuV-Daten,EBITDA,,,,0.96,-0.41,-0.62,-0.18,-0.15
Berlinwasser Holding GmbH,GuV-Daten,EBT,,,,6.38,0.24,-0.64,0.05,3.11
Berlinwasser Holding GmbH,GuV-Daten,Jahresergebnis,,,,6.15,1.21,2.26,-0.16,21.79
Berlinwasser Holding GmbH,GuV-Daten,Gewinnabführung,,,,,,,,
Berlinwasser Holding GmbH,Beschäftigte,Beschäftigte,,,,3.0,3.0,3.0,3.0,3.0
Berlinwasser Holding GmbH,Beschäftigte,Beschäftigte,davon Auszubildende,,,,,,,
Berlinwasser Holding GmbH,Allgemeine Daten,Zuführungen,,,,,,,,
Berlinwasser Holding GmbH,Allgemeine Daten,Zuführungen,Zuführungen Land Berlin,,,,,,,
Berlinwasser Holding GmbH,Allgemeine Daten,Investitionen,,,,,,,,
Berlinwasser Holding GmbH,Allgemeine Daten,Investitionsquote (%),,,,,,,,
Berlinwasser Holding GmbH,Allgemeine Daten,Umsatz pro Vollzeitkraft (T €),,,,21.85,21.85,21.85,21.85,15.0
Berlinwasser Holding GmbH,Allgemeine Daten,Eigenkapitalquote (%),,,,97.5,96.4,96.3,94.7,93.7
Berlinwasser Holding GmbH,Allgemeine Daten,Eigenkapitalrentabilität (%),,,,3.9,0.2,-0.4,0.0,2.0
Berlinwasser Holding GmbH,Allgemeine Daten,Umsatzrentabilität (%),,,,,364.1,,80.1,
Berlinwasser Holding GmbH,Allgemeine Daten,Zinslastquote (%),,,,159.8,647.5,,,
Berlinwasser Holding GmbH,Allgemeine Daten,Personalkostenquote (%),,,,391.8,,,,
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Bilanzdaten,Bilanzsumme,,,,0.91,0.9,0.68,0.42,0.33
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,,,0.01,0.0,0.01,0.01,0.0
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,0.01,0.0,0.01,0.01,0.0
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,,,,,
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,0.9,0.9,0.67,0.41,0.32
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Bilanzdaten,Bilanzsumme,Eigenkapital,,,0.03,0.03,0.03,0.03,0.03
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,,,,,
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Bilanzdaten,Bilanzsumme,Sonderposten für Zuschüsse,,,0.01,0.0,0.01,0.01,0.0
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Bilanzdaten,Bilanzsumme,Fremdkapital,,,0.88,0.87,0.64,0.38,0.3
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,0.02,0.04,0.03,0.04,0.04
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,0.85,0.84,0.61,0.34,0.26
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,,,,,
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,GuV-Daten,Gesamterträge,,,,1.67,1.62,1.74,1.77,1.47
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,GuV-Daten,Gesamterträge,Umsatzerlöse,,,,,,,
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,GuV-Daten,Gesamterträge,Übrige Erträge,,,1.67,1.62,1.74,1.77,1.47
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,GuV-Daten,Gesamtaufwendungen,,,,0.76,1.62,1.74,1.77,1.47
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,GuV-Daten,Gesamtaufwendungen,Personalaufwand,,,0.61,0.56,0.54,0.52,0.44
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,GuV-Daten,Gesamtaufwendungen,Abschreibungen,,,0.01,0.0,0.0,0.01,0.0
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,,0.0,0.0,,
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,0.13,1.05,1.2,1.24,1.02
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,GuV-Daten,EBITDA,,,,0.01,0.01,0.01,0.01,0.0
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,GuV-Daten,EBT,,,,0.0,0.0,0.0,0.0,0.0
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,GuV-Daten,Jahresergebnis,,,,0.0,0.0,0.0,0.0,0.0
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,GuV-Daten,Gewinnabführung,,,,,,,,
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Beschäftigte,Beschäftigte,,,,9.0,9.0,9.0,8.0,8.0
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Beschäftigte,Beschäftigte,davon Auszubildende,,,,,,,
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Allgemeine Daten,Zuführungen,,,,1.66,1.61,1.74,1.76,1.46
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Allgemeine Daten,Zuführungen,Zuführungen Land Berlin,,,0.49,0.47,0.52,0.53,0.37
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Allgemeine Daten,Investitionen,,,,0.02,0.0,0.0,0.01,0.0
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Allgemeine Daten,Investitionsquote (%),,,,161.2,54.5,25.9,139.0,57.0
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Allgemeine Daten,Umsatz pro Vollzeitkraft (T €),,,,0.0,0.0,0.0,0.0,0.0
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Allgemeine Daten,Eigenkapitalquote (%),,,,2.9,3.0,4.0,6.4,8.2
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Allgemeine Daten,Eigenkapitalrentabilität (%),,,,,,,,
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Allgemeine Daten,Umsatzrentabilität (%),,,,,,,,
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Allgemeine Daten,Zinslastquote (%),,,,,0.0,0.0,,
BGZ Berliner Gesellschaft für internationale Zusammenarbeit mbH,Allgemeine Daten,Personalkostenquote (%),,,,,,,,
BIM Berliner Immobilienmanagement GmbH,Bilanzdaten,Bilanzsumme,,,,160.58,86.39,77.1,31.64,25.99
BIM Berliner Immobilienmanagement GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,,,108.42,58.74,48.09,3.27,3.39
BIM Berliner Immobilienmanagement GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,108.14,58.44,47.69,2.21,1.85
BIM Berliner Immobilienmanagement GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,,,,0.08,0.05
BIM Berliner Immobilienmanagement GmbH,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,51.74,26.79,27.8,28.09,22.18
BIM Berliner Immobilienmanagement GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,,,139.23,68.11,56.74,12.86,9.04
BIM Berliner Immobilienmanagement GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,121.85,57.24,45.36,0.03,0.03
BIM Berliner Immobilienmanagement GmbH,Bilanzdaten,Bilanzsumme,Sonderposten für Zuschüsse,,,,,,,
BIM Berliner Immobilienmanagement GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,,,21.19,18.14,20.21,18.64,16.7
BIM Berliner Immobilienmanagement GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,15.23,13.34,12.53,12.11,7.81
BIM Berliner Immobilienmanagement GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,5.97,4.8,7.68,6.53,8.89
BIM Berliner Immobilienmanagement GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,,,,,
BIM Berliner Immobilienmanagement GmbH,GuV-Daten,Gesamterträge,,,,92.24,76.45,70.96,63.07,51.5
BIM Berliner Immobilienmanagement GmbH,GuV-Daten,Gesamterträge,Umsatzerlöse,,,90.78,75.31,69.37,61.56,50.32
BIM Berliner Immobilienmanagement GmbH,GuV-Daten,Gesamterträge,Übrige Erträge,,,1.46,1.14,1.59,1.51,1.18
BIM Berliner Immobilienmanagement GmbH,GuV-Daten,Gesamtaufwendungen,,,,83.86,73.95,68.17,58.75,48.19
BIM Berliner Immobilienmanagement GmbH,GuV-Daten,Gesamtaufwendungen,Personalaufwand,,,61.62,53.17,48.76,44.12,35.17
BIM Berliner Immobilienmanagement GmbH,GuV-Daten,Gesamtaufwendungen,Abschreibungen,,,1.86,2.48,2.29,1.59,1.27
BIM Berliner Immobilienmanagement GmbH,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,0.01,0.01,0.02,0.01,0.01
BIM Berliner Immobilienmanagement GmbH,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,20.37,18.28,17.1,13.03,11.73
BIM Berliner Immobilienmanagement GmbH,GuV-Daten,EBITDA,,,,14.51,6.66,6.99,7.23,6.06
BIM Berliner Immobilienmanagement GmbH,GuV-Daten,EBT,,,,12.67,4.16,4.68,6.31,4.79
BIM Berliner Immobilienmanagement GmbH,GuV-Daten,Jahresergebnis,,,,8.38,2.5,2.79,4.32,3.32
BIM Berliner Immobilienmanagement GmbH,GuV-Daten,Gewinnabführung,,,,1.88,3.0,,4.0,0.5
BIM Berliner Immobilienmanagement GmbH,Beschäftigte,Beschäftigte,,,,751.0,703.0,654.0,595.0,511.0
BIM Berliner Immobilienmanagement GmbH,Beschäftigte,Beschäftigte,davon Auszubildende,,,17.0,16.0,17.0,18.0,18.0
BIM Berliner Immobilienmanagement GmbH,Allgemeine Daten,Zuführungen,,,,,,,,
BIM Berliner Immobilienmanagement GmbH,Allgemeine Daten,Zuführungen,Zuführungen Land Berlin,,,,,,,
BIM Berliner Immobilienmanagement GmbH,Allgemeine Daten,Investitionen,,,,52.01,13.57,12.99,1.45,2.72
BIM Berliner Immobilienmanagement GmbH,Allgemeine Daten,Investitionsquote (%),,,,48.0,23.1,27.0,45.3,81.4
BIM Berliner Immobilienmanagement GmbH,Allgemeine Daten,Umsatz pro Vollzeitkraft (T €),,,,120.88,107.13,106.07,103.47,98.47
BIM Berliner Immobilienmanagement GmbH,Allgemeine Daten,Eigenkapitalquote (%),,,,86.7,78.8,73.6,40.6,34.8
BIM Berliner Immobilienmanagement GmbH,Allgemeine Daten,Eigenkapitalrentabilität (%),,,,9.1,6.1,8.3,49.0,53.1
BIM Berliner Immobilienmanagement GmbH,Allgemeine Daten,Umsatzrentabilität (%),,,,14.0,5.5,6.8,10.2,9.5
BIM Berliner Immobilienmanagement GmbH,Allgemeine Daten,Zinslastquote (%),,,,0.0,0.0,0.0,0.0,0.0
BIM Berliner Immobilienmanagement GmbH,Allgemeine Daten,Personalkostenquote (%),,,,67.9,70.6,70.3,71.7,69.9
BIM Berliner Immobilienmanagement GmbH,Spezifische Daten,Ausschüttung aus dem SILB (Mio. €),,,,141.03,149.6,145.41,173.44,176.67
BIM Berliner Immobilienmanagement GmbH,Spezifische Daten,Zahlungen SILB/Land Berlin aus Geschäftsbesorgung (Mio. €),,,,58.15,48.98,46.07,47.64,28.78
BIM Berliner Immobilienmanagement GmbH,Spezifische Daten,Mieteinnahmen SILB (Mio. €),,,,515.83,506.22,503.47,491.06,407.83
BIM Berliner Immobilienmanagement GmbH,Spezifische Daten,Grundstücke im SILB (Anz.),,,,416.0,415.0,414.0,414.0,382.0
BIM Berliner Immobilienmanagement GmbH,Spezifische Daten,Nettogeschossfläche SILB (Tsd. m2),,,,4591.0,4591.0,4574.0,4522.0,4462.0
BIM Berliner Immobilienmanagement GmbH,Spezifische Daten,Angemietete Objekte (Anz.),,,,203.0,206.0,203.0,207.0,140.0
BIM Berliner Immobilienmanagement GmbH,Spezifische Daten,Mietausgaben (Mio. €),,,,98.09,83.34,74.56,74.58,66.2
Campus Berlin-Buch GmbH,Bilanzdaten,Bilanzsumme,,,,48.56,36.39,26.92,22.28,16.79
Campus Berlin-Buch GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,,,43.51,31.22,20.67,15.28,14.29
Campus Berlin-Buch GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,43.48,31.19,20.62,15.21,14.26
Campus Berlin-Buch GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,,,,,
Campus Berlin-Buch GmbH,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,5.01,5.08,6.21,6.99,2.49
Campus Berlin-Buch GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,,,1.34,1.33,1.3,1.26,1.24
Campus Berlin-Buch GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,,,,,
Campus Berlin-Buch GmbH,Bilanzdaten,Bilanzsumme,Sonderposten für Zuschüsse,,,36.9,25.95,16.02,12.17,11.65
Campus Berlin-Buch GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,,,10.15,8.92,8.92,8.2,3.67
Campus Berlin-Buch GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,0.29,0.37,0.4,0.34,0.31
Campus Berlin-Buch GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,9.86,8.54,8.52,7.86,3.36
Campus Berlin-Buch GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,4.69,5.08,5.47,5.86,1.7
Campus Berlin-Buch GmbH,GuV-Daten,Gesamterträge,,,,19.64,15.46,14.05,14.83,13.66
Campus Berlin-Buch GmbH,GuV-Daten,Gesamterträge,Umsatzerlöse,,,11.51,14.37,10.71,12.72,11.8
Campus Berlin-Buch GmbH,GuV-Daten,Gesamterträge,Übrige Erträge,,,8.13,1.1,3.34,2.11,1.86
Campus Berlin-Buch GmbH,GuV-Daten,Gesamtaufwendungen,,,,19.63,15.43,14.02,14.72,13.6
Campus Berlin-Buch GmbH,GuV-Daten,Gesamtaufwendungen,Personalaufwand,,,2.89,2.85,2.66,2.74,2.51
Campus Berlin-Buch GmbH,GuV-Daten,Gesamtaufwendungen,Abschreibungen,,,1.89,2.05,2.04,2.05,2.04
Campus Berlin-Buch GmbH,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,0.01,0.01,0.01,0.06,0.08
Campus Berlin-Buch GmbH,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,14.85,10.52,9.31,9.87,8.97
Campus Berlin-Buch GmbH,GuV-Daten,EBITDA,,,,1.91,2.09,2.09,2.13,2.19
Campus Berlin-Buch GmbH,GuV-Daten,EBT,,,,0.01,0.04,0.04,0.02,0.07
Campus Berlin-Buch GmbH,GuV-Daten,Jahresergebnis,,,,0.01,0.03,0.04,0.02,0.06
Campus Berlin-Buch GmbH,GuV-Daten,Gewinnabführung,,,,,,,,
Campus Berlin-Buch GmbH,Beschäftigte,Beschäftigte,,,,35.0,36.0,37.0,40.0,38.0
Campus Berlin-Buch GmbH,Beschäftigte,Beschäftigte,davon Auszubildende,,,,,,,
Campus Berlin-Buch GmbH,Allgemeine Daten,Zuführungen,,,,12.45,8.5,5.5,3.9,1.4
Campus Berlin-Buch GmbH,Allgemeine Daten,Zuführungen,Zuführungen Land Berlin,,,12.45,8.5,5.5,3.9,1.4
Campus Berlin-Buch GmbH,Allgemeine Daten,Investitionen,,,,14.19,12.6,7.44,2.99,1.78
Campus Berlin-Buch GmbH,Allgemeine Daten,Investitionsquote (%),,,,32.6,40.3,36.0,19.6,12.5
Campus Berlin-Buch GmbH,Allgemeine Daten,Umsatz pro Vollzeitkraft (T €),,,,328.72,399.1,289.51,317.99,310.63
Campus Berlin-Buch GmbH,Allgemeine Daten,Eigenkapitalquote (%),,,,2.8,3.7,4.8,5.7,7.4
Campus Berlin-Buch GmbH,Allgemeine Daten,Eigenkapitalrentabilität (%),,,,0.6,2.7,3.0,1.9,5.9
Campus Berlin-Buch GmbH,Allgemeine Daten,Umsatzrentabilität (%),,,,0.1,0.2,0.4,0.2,0.6
Campus Berlin-Buch GmbH,Allgemeine Daten,Zinslastquote (%),,,,0.0,0.0,0.1,0.5,0.7
Campus Berlin-Buch GmbH,Allgemeine Daten,Personalkostenquote (%),,,,25.1,19.9,24.8,21.6,21.3
Campus Berlin-Buch GmbH,Spezifische Daten,Unternehmen im Biotech Park (Anz.),,,,75.0,75.0,73.0,67.0,63.0
Campus Berlin-Buch GmbH,Spezifische Daten,Vermietbare Fläche (m2),,,,21447.0,21447.0,21447.0,21447.0,21447.0
Campus Berlin-Buch GmbH,Spezifische Daten,MA in den Unternehmen im BiotechPark (Anz.),,,,841.0,832.0,823.0,815.0,800.0
Campus Berlin-Buch GmbH,Spezifische Daten,Leerstandsquote (%),,,,1.5,1.3,3.7,4.0,4.0
DEGES Deutsche Einheit Fernstraßenplanungs- und -bau GmbH Berlin,Bilanzdaten,Bilanzsumme,,,,1513.23,1362.71,1182.93,1000.35,823.4
DEGES Deutsche Einheit Fernstraßenplanungs- und -bau GmbH Berlin,Bilanzdaten,Bilanzsumme,Anlagevermögen,,,4.54,5.25,6.54,5.51,5.08
DEGES Deutsche Einheit Fernstraßenplanungs- und -bau GmbH Berlin,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,3.09,3.28,3.73,4.07,3.65
DEGES Deutsche Einheit Fernstraßenplanungs- und -bau GmbH Berlin,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,0.25,0.25,0.27,0.28,0.27
DEGES Deutsche Einheit Fernstraßenplanungs- und -bau GmbH Berlin,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,1507.25,1356.27,1175.94,994.42,817.87
DEGES Deutsche Einheit Fernstraßenplanungs- und -bau GmbH Berlin,Bilanzdaten,Bilanzsumme,Eigenkapital,,,0.16,0.15,0.15,0.14,0.14
